Train_Time,Test_Time,Train_Acc,Test_Acc,Batch,LR
2313.2608301639557,3.623767852783203,0.93594,0.7552,16,2e-4
1240.3257167339325,2.1702418327331543,0.93236,0.7526,32,2e-4
420.4720959663391,1.2367041110992432,0.8702,0.7286,128,2e-4
286.5106408596039,1.189035415649414,0.84196,0.7387,256,2e-4
230.99738383293152,1.029390811920166,0.79302,0.7432,512,2e-4
2299.578078508377,3.636401891708374,0.8889,0.7515,16,5e-05
1235.0545806884766,2.1381959915161133,0.85086,0.7385,32,5e-05
417.44005060195923,1.249387264251709,0.77304,0.7237,128,5e-05
286.5292272567749,1.0960991382598877,0.73788,0.714,256,5e-05
232.06034350395203,1.0404300689697266,0.69478,0.686,512,5e-05